sample_id	taxonomy	relative_abundance
17	Bifidobacterium_breve	0.0000
16	Bifidobacterium_breve	0.0000
15	Bifidobacterium_breve	0.0000
14	Bifidobacterium_breve	0.0000
13	Bifidobacterium_breve	0.0000
12	Bifidobacterium_breve	32.0559
11	Bifidobacterium_breve	0.0000
10	Bifidobacterium_breve	0.0000
9	Bifidobacterium_breve	0.0000
8	Bifidobacterium_breve	0.0000
7	Bifidobacterium_breve	0.0000
6	Bifidobacterium_breve	0.0000
5	Bifidobacterium_breve	0.0000
4	Bifidobacterium_breve	0.0000
3	Bifidobacterium_breve	100.0000
2	Bifidobacterium_breve	0.0000
1	Bifidobacterium_breve	0.0000
17	Gardnerella	0.0000
16	Gardnerella	0.0000
15	Gardnerella	0.0000
14	Gardnerella	0.0000
13	Gardnerella	0.0000
12	Gardnerella	0.0000
11	Gardnerella	0.0050
10	Gardnerella	0.0000
9	Gardnerella	47.6871
8	Gardnerella	0.9997
7	Gardnerella	0.0000
6	Gardnerella	0.0000
5	Gardnerella	0.0000
4	Gardnerella	65.9108
3	Gardnerella	0.0000
2	Gardnerella	0.0000
1	Gardnerella	0.0000
17	Lactobacillus_crispatus	0.0000
16	Lactobacillus_crispatus	1.6933
15	Lactobacillus_crispatus	99.8530
14	Lactobacillus_crispatus	99.9337
13	Lactobacillus_crispatus	98.3570
12	Lactobacillus_crispatus	64.4597
11	Lactobacillus_crispatus	99.9707
10	Lactobacillus_crispatus	99.2261
9	Lactobacillus_crispatus	0.0000
8	Lactobacillus_crispatus	99.0003
7	Lactobacillus_crispatus	70.8596
6	Lactobacillus_crispatus	99.9638
5	Lactobacillus_crispatus	0.0000
4	Lactobacillus_crispatus	33.2166
3	Lactobacillus_crispatus	0.0000
2	Lactobacillus_crispatus	99.9864
1	Lactobacillus_crispatus	57.6739
17	Lactobacillus_gasseri	1.5375
16	Lactobacillus_gasseri	0.0000
15	Lactobacillus_gasseri	0.0000
14	Lactobacillus_gasseri	0.0000
13	Lactobacillus_gasseri	0.0000
12	Lactobacillus_gasseri	0.0000
11	Lactobacillus_gasseri	0.0000
10	Lactobacillus_gasseri	0.2656
9	Lactobacillus_gasseri	0.0000
8	Lactobacillus_gasseri	0.0000
7	Lactobacillus_gasseri	0.0000
6	Lactobacillus_gasseri	0.0000
5	Lactobacillus_gasseri	0.0000
4	Lactobacillus_gasseri	0.0000
3	Lactobacillus_gasseri	0.0000
2	Lactobacillus_gasseri	0.0000
1	Lactobacillus_gasseri	0.0000
17	Lactobacillus_iners	98.2359
16	Lactobacillus_iners	0.3198
15	Lactobacillus_iners	0.0165
14	Lactobacillus_iners	0.0010
13	Lactobacillus_iners	0.0000
12	Lactobacillus_iners	0.1278
11	Lactobacillus_iners	0.0000
10	Lactobacillus_iners	0.4459
9	Lactobacillus_iners	0.0000
8	Lactobacillus_iners	0.0000
7	Lactobacillus_iners	29.1282
6	Lactobacillus_iners	0.0164
5	Lactobacillus_iners	99.7480
4	Lactobacillus_iners	0.0000
3	Lactobacillus_iners	0.0000
2	Lactobacillus_iners	0.0000
1	Lactobacillus_iners	30.2165
17	Lactobacillus_jensenii	0.0000
16	Lactobacillus_jensenii	0.0000
15	Lactobacillus_jensenii	0.0000
14	Lactobacillus_jensenii	0.0000
13	Lactobacillus_jensenii	0.0000
12	Lactobacillus_jensenii	0.0000
11	Lactobacillus_jensenii	0.0000
10	Lactobacillus_jensenii	0.0000
9	Lactobacillus_jensenii	0.0000
8	Lactobacillus_jensenii	0.0000
7	Lactobacillus_jensenii	0.0000
6	Lactobacillus_jensenii	0.0000
5	Lactobacillus_jensenii	0.0000
4	Lactobacillus_jensenii	0.5097
3	Lactobacillus_jensenii	0.0000
2	Lactobacillus_jensenii	0.0000
1	Lactobacillus_jensenii	11.4306
17	Lactobacillus_johnsonii	0.0000
16	Lactobacillus_johnsonii	62.5844
15	Lactobacillus_johnsonii	0.0000
14	Lactobacillus_johnsonii	0.0000
13	Lactobacillus_johnsonii	0.0000
12	Lactobacillus_johnsonii	0.0000
11	Lactobacillus_johnsonii	0.0000
10	Lactobacillus_johnsonii	0.0000
9	Lactobacillus_johnsonii	0.0000
8	Lactobacillus_johnsonii	0.0000
7	Lactobacillus_johnsonii	0.0000
6	Lactobacillus_johnsonii	0.0000
5	Lactobacillus_johnsonii	0.0000
4	Lactobacillus_johnsonii	0.0000
3	Lactobacillus_johnsonii	0.0000
2	Lactobacillus_johnsonii	0.0000
1	Lactobacillus_johnsonii	0.0000
17	Lactobacillus_paragasseri	0.0000
16	Lactobacillus_paragasseri	0.0000
15	Lactobacillus_paragasseri	0.0000
14	Lactobacillus_paragasseri	0.0000
13	Lactobacillus_paragasseri	0.0000
12	Lactobacillus_paragasseri	0.0000
11	Lactobacillus_paragasseri	0.0000
10	Lactobacillus_paragasseri	0.0277
9	Lactobacillus_paragasseri	52.3047
8	Lactobacillus_paragasseri	0.0000
7	Lactobacillus_paragasseri	0.0000
6	Lactobacillus_paragasseri	0.0000
5	Lactobacillus_paragasseri	0.0000
4	Lactobacillus_paragasseri	0.0000
3	Lactobacillus_paragasseri	0.0000
2	Lactobacillus_paragasseri	0.0000
1	Lactobacillus_paragasseri	0.0000
17	Limosilactobacillus_coleohominis	0.1897
16	Limosilactobacillus_coleohominis	0.0000
15	Limosilactobacillus_coleohominis	0.0000
14	Limosilactobacillus_coleohominis	0.0000
13	Limosilactobacillus_coleohominis	0.9963
12	Limosilactobacillus_coleohominis	0.0000
11	Limosilactobacillus_coleohominis	0.0073
10	Limosilactobacillus_coleohominis	0.0000
9	Limosilactobacillus_coleohominis	0.0000
8	Limosilactobacillus_coleohominis	0.0000
7	Limosilactobacillus_coleohominis	0.0000
6	Limosilactobacillus_coleohominis	0.0000
5	Limosilactobacillus_coleohominis	0.2520
4	Limosilactobacillus_coleohominis	0.0000
3	Limosilactobacillus_coleohominis	0.0000
2	Limosilactobacillus_coleohominis	0.0000
1	Limosilactobacillus_coleohominis	0.0930
17	Limosilactobacillus_oris	0.0000
16	Limosilactobacillus_oris	0.0000
15	Limosilactobacillus_oris	0.0000
14	Limosilactobacillus_oris	0.0000
13	Limosilactobacillus_oris	0.2046
12	Limosilactobacillus_oris	0.0000
11	Limosilactobacillus_oris	0.0000
10	Limosilactobacillus_oris	0.0000
9	Limosilactobacillus_oris	0.0000
8	Limosilactobacillus_oris	0.0000
7	Limosilactobacillus_oris	0.0000
6	Limosilactobacillus_oris	0.0000
5	Limosilactobacillus_oris	0.0000
4	Limosilactobacillus_oris	0.0000
3	Limosilactobacillus_oris	0.0000
2	Limosilactobacillus_oris	0.0000
1	Limosilactobacillus_oris	0.0000
17	Limosilactobacillus_reuteri	0.0000
16	Limosilactobacillus_reuteri	0.0000
15	Limosilactobacillus_reuteri	0.0000
14	Limosilactobacillus_reuteri	0.0000
13	Limosilactobacillus_reuteri	0.0000
12	Limosilactobacillus_reuteri	3.3565
11	Limosilactobacillus_reuteri	0.0000
10	Limosilactobacillus_reuteri	0.0000
9	Limosilactobacillus_reuteri	0.0000
8	Limosilactobacillus_reuteri	0.0000
7	Limosilactobacillus_reuteri	0.0000
6	Limosilactobacillus_reuteri	0.0000
5	Limosilactobacillus_reuteri	0.0000
4	Limosilactobacillus_reuteri	0.0000
3	Limosilactobacillus_reuteri	0.0000
2	Limosilactobacillus_reuteri	0.0000
1	Limosilactobacillus_reuteri	0.0000
17	Limosilactobacillus_vaginalis	0.0000
16	Limosilactobacillus_vaginalis	19.3143
15	Limosilactobacillus_vaginalis	0.1134
14	Limosilactobacillus_vaginalis	0.0323
13	Limosilactobacillus_vaginalis	0.0376
12	Limosilactobacillus_vaginalis	0.0000
11	Limosilactobacillus_vaginalis	0.0171
10	Limosilactobacillus_vaginalis	0.0217
9	Limosilactobacillus_vaginalis	0.0000
8	Limosilactobacillus_vaginalis	0.0000
7	Limosilactobacillus_vaginalis	0.0000
6	Limosilactobacillus_vaginalis	0.0000
5	Limosilactobacillus_vaginalis	0.0000
4	Limosilactobacillus_vaginalis	0.0000
3	Limosilactobacillus_vaginalis	0.0000
